id|id_os|id_user_list|gid|group_name|user_list
GROUP-cb8b4d5668c8e0e354c0c99d7160acd1-0|OS-cb8b4d5668c8e0e354c0c99d7160acd1|USER-cb8b4d5668c8e0e354c0c99d7160acd1-0,USER-cb8b4d5668c8e0e354c0c99d7160acd1-5,USER-cb8b4d5668c8e0e354c0c99d7160acd1-6,USER-cb8b4d5668c8e0e354c0c99d7160acd1-7,USER-cb8b4d5668c8e0e354c0c99d7160acd1-11|0|root|0,5,6,7,11
GROUP-cb8b4d5668c8e0e354c0c99d7160acd1-1|OS-cb8b4d5668c8e0e354c0c99d7160acd1|USER-cb8b4d5668c8e0e354c0c99d7160acd1-1|1|bin|1
GROUP-cb8b4d5668c8e0e354c0c99d7160acd1-2|OS-cb8b4d5668c8e0e354c0c99d7160acd1|USER-cb8b4d5668c8e0e354c0c99d7160acd1-2|2|daemon|2
GROUP-cb8b4d5668c8e0e354c0c99d7160acd1-3|OS-cb8b4d5668c8e0e354c0c99d7160acd1||3|sys|
GROUP-cb8b4d5668c8e0e354c0c99d7160acd1-4|OS-cb8b4d5668c8e0e354c0c99d7160acd1|USER-cb8b4d5668c8e0e354c0c99d7160acd1-3|4|adm|3
GROUP-cb8b4d5668c8e0e354c0c99d7160acd1-5|OS-cb8b4d5668c8e0e354c0c99d7160acd1||5|tty|
GROUP-cb8b4d5668c8e0e354c0c99d7160acd1-6|OS-cb8b4d5668c8e0e354c0c99d7160acd1||6|disk|
GROUP-cb8b4d5668c8e0e354c0c99d7160acd1-7|OS-cb8b4d5668c8e0e354c0c99d7160acd1|USER-cb8b4d5668c8e0e354c0c99d7160acd1-4|7|lp|4
GROUP-cb8b4d5668c8e0e354c0c99d7160acd1-8|OS-cb8b4d5668c8e0e354c0c99d7160acd1||8|mem|
GROUP-cb8b4d5668c8e0e354c0c99d7160acd1-9|OS-cb8b4d5668c8e0e354c0c99d7160acd1||9|kmem|
GROUP-cb8b4d5668c8e0e354c0c99d7160acd1-10|OS-cb8b4d5668c8e0e354c0c99d7160acd1||10|wheel|
GROUP-cb8b4d5668c8e0e354c0c99d7160acd1-11|OS-cb8b4d5668c8e0e354c0c99d7160acd1||11|cdrom|
GROUP-cb8b4d5668c8e0e354c0c99d7160acd1-12|OS-cb8b4d5668c8e0e354c0c99d7160acd1|USER-cb8b4d5668c8e0e354c0c99d7160acd1-8|12|mail|8
GROUP-cb8b4d5668c8e0e354c0c99d7160acd1-15|OS-cb8b4d5668c8e0e354c0c99d7160acd1||15|man|
GROUP-cb8b4d5668c8e0e354c0c99d7160acd1-18|OS-cb8b4d5668c8e0e354c0c99d7160acd1||18|dialout|
GROUP-cb8b4d5668c8e0e354c0c99d7160acd1-19|OS-cb8b4d5668c8e0e354c0c99d7160acd1||19|floppy|
GROUP-cb8b4d5668c8e0e354c0c99d7160acd1-20|OS-cb8b4d5668c8e0e354c0c99d7160acd1||20|games|
GROUP-cb8b4d5668c8e0e354c0c99d7160acd1-33|OS-cb8b4d5668c8e0e354c0c99d7160acd1||33|tape|
GROUP-cb8b4d5668c8e0e354c0c99d7160acd1-39|OS-cb8b4d5668c8e0e354c0c99d7160acd1||39|video|
GROUP-cb8b4d5668c8e0e354c0c99d7160acd1-50|OS-cb8b4d5668c8e0e354c0c99d7160acd1|USER-cb8b4d5668c8e0e354c0c99d7160acd1-14|50|ftp|14
GROUP-cb8b4d5668c8e0e354c0c99d7160acd1-54|OS-cb8b4d5668c8e0e354c0c99d7160acd1||54|lock|
GROUP-cb8b4d5668c8e0e354c0c99d7160acd1-63|OS-cb8b4d5668c8e0e354c0c99d7160acd1||63|audio|
GROUP-cb8b4d5668c8e0e354c0c99d7160acd1-99|OS-cb8b4d5668c8e0e354c0c99d7160acd1|USER-cb8b4d5668c8e0e354c0c99d7160acd1-99|99|nobody|99
GROUP-cb8b4d5668c8e0e354c0c99d7160acd1-100|OS-cb8b4d5668c8e0e354c0c99d7160acd1|USER-cb8b4d5668c8e0e354c0c99d7160acd1-12|100|users|12
GROUP-cb8b4d5668c8e0e354c0c99d7160acd1-22|OS-cb8b4d5668c8e0e354c0c99d7160acd1||22|utmp|
GROUP-cb8b4d5668c8e0e354c0c99d7160acd1-35|OS-cb8b4d5668c8e0e354c0c99d7160acd1||35|utempter|
GROUP-cb8b4d5668c8e0e354c0c99d7160acd1-999|OS-cb8b4d5668c8e0e354c0c99d7160acd1||999|input|
GROUP-cb8b4d5668c8e0e354c0c99d7160acd1-190|OS-cb8b4d5668c8e0e354c0c99d7160acd1||190|systemd-journal|
GROUP-cb8b4d5668c8e0e354c0c99d7160acd1-192|OS-cb8b4d5668c8e0e354c0c99d7160acd1|USER-cb8b4d5668c8e0e354c0c99d7160acd1-192|192|systemd-network|192
GROUP-cb8b4d5668c8e0e354c0c99d7160acd1-81|OS-cb8b4d5668c8e0e354c0c99d7160acd1|USER-cb8b4d5668c8e0e354c0c99d7160acd1-81|81|dbus|81
GROUP-cb8b4d5668c8e0e354c0c99d7160acd1-998|OS-cb8b4d5668c8e0e354c0c99d7160acd1|USER-cb8b4d5668c8e0e354c0c99d7160acd1-999|998|polkitd|999
GROUP-cb8b4d5668c8e0e354c0c99d7160acd1-997|OS-cb8b4d5668c8e0e354c0c99d7160acd1||997|printadmin|
GROUP-cb8b4d5668c8e0e354c0c99d7160acd1-996|OS-cb8b4d5668c8e0e354c0c99d7160acd1|USER-cb8b4d5668c8e0e354c0c99d7160acd1-998|996|libstoragemgmt|998
GROUP-cb8b4d5668c8e0e354c0c99d7160acd1-995|OS-cb8b4d5668c8e0e354c0c99d7160acd1|USER-cb8b4d5668c8e0e354c0c99d7160acd1-997|995|colord|997
GROUP-cb8b4d5668c8e0e354c0c99d7160acd1-32|OS-cb8b4d5668c8e0e354c0c99d7160acd1|USER-cb8b4d5668c8e0e354c0c99d7160acd1-32|32|rpc|32
GROUP-cb8b4d5668c8e0e354c0c99d7160acd1-40|OS-cb8b4d5668c8e0e354c0c99d7160acd1||40|dip|
GROUP-cb8b4d5668c8e0e354c0c99d7160acd1-994|OS-cb8b4d5668c8e0e354c0c99d7160acd1||994|cgred|
GROUP-cb8b4d5668c8e0e354c0c99d7160acd1-993|OS-cb8b4d5668c8e0e354c0c99d7160acd1||993|ssh_keys|
GROUP-cb8b4d5668c8e0e354c0c99d7160acd1-76|OS-cb8b4d5668c8e0e354c0c99d7160acd1|USER-cb8b4d5668c8e0e354c0c99d7160acd1-996|76|saslauth|996
GROUP-cb8b4d5668c8e0e354c0c99d7160acd1-173|OS-cb8b4d5668c8e0e354c0c99d7160acd1|USER-cb8b4d5668c8e0e354c0c99d7160acd1-173|173|abrt|173
GROUP-cb8b4d5668c8e0e354c0c99d7160acd1-172|OS-cb8b4d5668c8e0e354c0c99d7160acd1|USER-cb8b4d5668c8e0e354c0c99d7160acd1-172|172|rtkit|172
GROUP-cb8b4d5668c8e0e354c0c99d7160acd1-992|OS-cb8b4d5668c8e0e354c0c99d7160acd1||992|pulse-access|
GROUP-cb8b4d5668c8e0e354c0c99d7160acd1-991|OS-cb8b4d5668c8e0e354c0c99d7160acd1||991|pulse-rt|
GROUP-cb8b4d5668c8e0e354c0c99d7160acd1-171|OS-cb8b4d5668c8e0e354c0c99d7160acd1|USER-cb8b4d5668c8e0e354c0c99d7160acd1-171|171|pulse|171
GROUP-cb8b4d5668c8e0e354c0c99d7160acd1-990|OS-cb8b4d5668c8e0e354c0c99d7160acd1|USER-cb8b4d5668c8e0e354c0c99d7160acd1-995|990|chrony|995
GROUP-cb8b4d5668c8e0e354c0c99d7160acd1-75|OS-cb8b4d5668c8e0e354c0c99d7160acd1|USER-cb8b4d5668c8e0e354c0c99d7160acd1-75|75|radvd|75
GROUP-cb8b4d5668c8e0e354c0c99d7160acd1-29|OS-cb8b4d5668c8e0e354c0c99d7160acd1|USER-cb8b4d5668c8e0e354c0c99d7160acd1-29|29|rpcuser|29
GROUP-cb8b4d5668c8e0e354c0c99d7160acd1-65534|OS-cb8b4d5668c8e0e354c0c99d7160acd1|USER-cb8b4d5668c8e0e354c0c99d7160acd1-65534|65534|nfsnobody|65534
GROUP-cb8b4d5668c8e0e354c0c99d7160acd1-989|OS-cb8b4d5668c8e0e354c0c99d7160acd1|USER-cb8b4d5668c8e0e354c0c99d7160acd1-994|989|unbound|994
GROUP-cb8b4d5668c8e0e354c0c99d7160acd1-988|OS-cb8b4d5668c8e0e354c0c99d7160acd1|USER-cb8b4d5668c8e0e354c0c99d7160acd1-993|988|gluster|993
GROUP-cb8b4d5668c8e0e354c0c99d7160acd1-36|OS-cb8b4d5668c8e0e354c0c99d7160acd1||36|kvm|
GROUP-cb8b4d5668c8e0e354c0c99d7160acd1-107|OS-cb8b4d5668c8e0e354c0c99d7160acd1|USER-cb8b4d5668c8e0e354c0c99d7160acd1-107|107|qemu|107
GROUP-cb8b4d5668c8e0e354c0c99d7160acd1-59|OS-cb8b4d5668c8e0e354c0c99d7160acd1|USER-cb8b4d5668c8e0e354c0c99d7160acd1-59|59|tss|59
GROUP-cb8b4d5668c8e0e354c0c99d7160acd1-987|OS-cb8b4d5668c8e0e354c0c99d7160acd1||987|libvirt|
GROUP-cb8b4d5668c8e0e354c0c99d7160acd1-113|OS-cb8b4d5668c8e0e354c0c99d7160acd1|USER-cb8b4d5668c8e0e354c0c99d7160acd1-113|113|usbmuxd|113
GROUP-cb8b4d5668c8e0e354c0c99d7160acd1-986|OS-cb8b4d5668c8e0e354c0c99d7160acd1|USER-cb8b4d5668c8e0e354c0c99d7160acd1-992|986|geoclue|992
GROUP-cb8b4d5668c8e0e354c0c99d7160acd1-985|OS-cb8b4d5668c8e0e354c0c99d7160acd1|USER-cb8b4d5668c8e0e354c0c99d7160acd1-991|985|setroubleshoot|991
GROUP-cb8b4d5668c8e0e354c0c99d7160acd1-984|OS-cb8b4d5668c8e0e354c0c99d7160acd1|USER-cb8b4d5668c8e0e354c0c99d7160acd1-990|984|saned|990
GROUP-cb8b4d5668c8e0e354c0c99d7160acd1-42|OS-cb8b4d5668c8e0e354c0c99d7160acd1|USER-cb8b4d5668c8e0e354c0c99d7160acd1-42|42|gdm|42
GROUP-cb8b4d5668c8e0e354c0c99d7160acd1-983|OS-cb8b4d5668c8e0e354c0c99d7160acd1|USER-cb8b4d5668c8e0e354c0c99d7160acd1-989|983|gnome-initial-setup|989
GROUP-cb8b4d5668c8e0e354c0c99d7160acd1-74|OS-cb8b4d5668c8e0e354c0c99d7160acd1|USER-cb8b4d5668c8e0e354c0c99d7160acd1-74|74|sshd|74
GROUP-cb8b4d5668c8e0e354c0c99d7160acd1-21|OS-cb8b4d5668c8e0e354c0c99d7160acd1||21|slocate|
GROUP-cb8b4d5668c8e0e354c0c99d7160acd1-70|OS-cb8b4d5668c8e0e354c0c99d7160acd1|USER-cb8b4d5668c8e0e354c0c99d7160acd1-70|70|avahi|70
GROUP-cb8b4d5668c8e0e354c0c99d7160acd1-90|OS-cb8b4d5668c8e0e354c0c99d7160acd1||90|postdrop|
