id|id_os|interface|mac|ipv4_ip|ipv6_ip|ipv4_netmask|ipv6_netmask|default_nic|gateway|status
NETI-cb8b4d5668c8e0e354c0c99d7160acd1-lo|OS-cb8b4d5668c8e0e354c0c99d7160acd1|lo|00:00:00:00:00:00|127.0.0.1|::1|255.0.0.0|ffff:ffff:ffff:ffff:ffff:ffff:ffff:ffff|False||True
NETI-cb8b4d5668c8e0e354c0c99d7160acd1-ens33|OS-cb8b4d5668c8e0e354c0c99d7160acd1|ens33|00:0c:29:60:ac:d1|192.168.1.251|fe80::dea8:bcd4:67a4:1821%ens33|255.255.255.0|ffff:ffff:ffff:ffff::|True|192.168.1.1|True
NETI-cb8b4d5668c8e0e354c0c99d7160acd1-virbr0|OS-cb8b4d5668c8e0e354c0c99d7160acd1|virbr0|52:54:00:ca:78:2e|192.168.122.1||255.255.255.0||False||True
NETI-cb8b4d5668c8e0e354c0c99d7160acd1-docker0|OS-cb8b4d5668c8e0e354c0c99d7160acd1|docker0|02:42:9f:55:8f:49|172.17.0.1|fe80::42:9fff:fe55:8f49%docker0|255.255.0.0|ffff:ffff:ffff:ffff::|False||True
NETI-cb8b4d5668c8e0e354c0c99d7160acd1-br-3399037f4388|OS-cb8b4d5668c8e0e354c0c99d7160acd1|br-3399037f4388|02:42:17:b7:f5:d5|1.1.1.1|fe80::42:17ff:feb7:f5d5%br-3399037f4388|255.255.255.0|ffff:ffff:ffff:ffff::|False||True
NETI-cb8b4d5668c8e0e354c0c99d7160acd1-veth592e0f7|OS-cb8b4d5668c8e0e354c0c99d7160acd1|veth592e0f7|02:dd:f2:28:57:ab||fe80::dd:f2ff:fe28:57ab%veth592e0f7||ffff:ffff:ffff:ffff::|False||True
NETI-cb8b4d5668c8e0e354c0c99d7160acd1-veth66a0303|OS-cb8b4d5668c8e0e354c0c99d7160acd1|veth66a0303|66:f8:1c:7b:61:c1||fe80::64f8:1cff:fe7b:61c1%veth66a0303||ffff:ffff:ffff:ffff::|False||True
NETI-cb8b4d5668c8e0e354c0c99d7160acd1-veth6e3ab7a|OS-cb8b4d5668c8e0e354c0c99d7160acd1|veth6e3ab7a|9e:de:45:2a:51:bb||fe80::9cde:45ff:fe2a:51bb%veth6e3ab7a||ffff:ffff:ffff:ffff::|False||True
NETI-cb8b4d5668c8e0e354c0c99d7160acd1-veth3bb2716|OS-cb8b4d5668c8e0e354c0c99d7160acd1|veth3bb2716|f6:b5:d5:84:36:4d||fe80::f4b5:d5ff:fe84:364d%veth3bb2716||ffff:ffff:ffff:ffff::|False||True
NETI-cb8b4d5668c8e0e354c0c99d7160acd1-virbr0-nic|OS-cb8b4d5668c8e0e354c0c99d7160acd1|virbr0-nic|52:54:00:ca:78:2e|||||False||False
