id|id_os|id_user|id_proc_list|id_neti_list|rel_port_list|type|listening_ip_list|port|status|pid_list|neti_list|user|uid|dst_ip|dst_port
PORT-cb8b4d5668c8e0e354c0c99d7160acd1-UDP-43845|OS-cb8b4d5668c8e0e354c0c99d7160acd1|||||UDP|0.0.0.0|43845|NONE|8762|||||43845
PORT-cb8b4d5668c8e0e354c0c99d7160acd1-TCP-25|OS-cb8b4d5668c8e0e354c0c99d7160acd1|||||TCP|127.0.0.1|25|LISTEN|9926|||||25
PORT-cb8b4d5668c8e0e354c0c99d7160acd1-TCP-53|OS-cb8b4d5668c8e0e354c0c99d7160acd1|||||TCP|192.168.122.1|53|LISTEN|9958|||||53
PORT-cb8b4d5668c8e0e354c0c99d7160acd1-UDP-67|OS-cb8b4d5668c8e0e354c0c99d7160acd1|||||UDP|0.0.0.0|67|NONE|9958|||||67
PORT-cb8b4d5668c8e0e354c0c99d7160acd1-TCP-22|OS-cb8b4d5668c8e0e354c0c99d7160acd1|||||TCP|192.168.1.251|22|ESTABLISHED|42452||||192.168.1.254|22
PORT-cb8b4d5668c8e0e354c0c99d7160acd1-UDP6-862|OS-cb8b4d5668c8e0e354c0c99d7160acd1|||||UDP6|::|862|NONE|8755|||||862
PORT-cb8b4d5668c8e0e354c0c99d7160acd1-UDP-323|OS-cb8b4d5668c8e0e354c0c99d7160acd1|||||UDP|127.0.0.1|323|NONE|8771|||||323
PORT-cb8b4d5668c8e0e354c0c99d7160acd1-TCP-22|OS-cb8b4d5668c8e0e354c0c99d7160acd1|||||TCP|0.0.0.0|22|LISTEN|9467|||||22
PORT-cb8b4d5668c8e0e354c0c99d7160acd1-UDP-5353|OS-cb8b4d5668c8e0e354c0c99d7160acd1|||||UDP|0.0.0.0|5353|NONE|8762|||||5353
PORT-cb8b4d5668c8e0e354c0c99d7160acd1-UDP-53|OS-cb8b4d5668c8e0e354c0c99d7160acd1|||||UDP|192.168.122.1|53|NONE|9958|||||53
PORT-cb8b4d5668c8e0e354c0c99d7160acd1-TCP6-111|OS-cb8b4d5668c8e0e354c0c99d7160acd1|||||TCP6|::|111|LISTEN|8755|||||111
PORT-cb8b4d5668c8e0e354c0c99d7160acd1-TCP-22|OS-cb8b4d5668c8e0e354c0c99d7160acd1|||||TCP|192.168.1.251|22|ESTABLISHED|41785||||192.168.1.254|22
PORT-cb8b4d5668c8e0e354c0c99d7160acd1-TCP6-631|OS-cb8b4d5668c8e0e354c0c99d7160acd1|||||TCP6|::1|631|LISTEN|9463|||||631
PORT-cb8b4d5668c8e0e354c0c99d7160acd1-TCP-111|OS-cb8b4d5668c8e0e354c0c99d7160acd1|||||TCP|0.0.0.0|111|LISTEN|8755|||||111
PORT-cb8b4d5668c8e0e354c0c99d7160acd1-UDP6-323|OS-cb8b4d5668c8e0e354c0c99d7160acd1|||||UDP6|::1|323|NONE|8771|||||323
PORT-cb8b4d5668c8e0e354c0c99d7160acd1-TCP-22|OS-cb8b4d5668c8e0e354c0c99d7160acd1|||||TCP|192.168.1.251|22|ESTABLISHED|42013||||192.168.1.254|22
PORT-cb8b4d5668c8e0e354c0c99d7160acd1-UDP-862|OS-cb8b4d5668c8e0e354c0c99d7160acd1|||||UDP|0.0.0.0|862|NONE|8755|||||862
PORT-cb8b4d5668c8e0e354c0c99d7160acd1-TCP-22|OS-cb8b4d5668c8e0e354c0c99d7160acd1|||||TCP|192.168.1.251|22|ESTABLISHED|43139||||192.168.1.254|22
PORT-cb8b4d5668c8e0e354c0c99d7160acd1-TCP-6000|OS-cb8b4d5668c8e0e354c0c99d7160acd1|||||TCP|0.0.0.0|6000|LISTEN|18693|||||6000
PORT-cb8b4d5668c8e0e354c0c99d7160acd1-TCP6-22|OS-cb8b4d5668c8e0e354c0c99d7160acd1|||||TCP6|::|22|LISTEN|9467|||||22
PORT-cb8b4d5668c8e0e354c0c99d7160acd1-TCP-631|OS-cb8b4d5668c8e0e354c0c99d7160acd1|||||TCP|127.0.0.1|631|LISTEN|9463|||||631
PORT-cb8b4d5668c8e0e354c0c99d7160acd1-TCP6-25|OS-cb8b4d5668c8e0e354c0c99d7160acd1|||||TCP6|::1|25|LISTEN|9926|||||25
PORT-cb8b4d5668c8e0e354c0c99d7160acd1-UDP6-111|OS-cb8b4d5668c8e0e354c0c99d7160acd1|||||UDP6|::|111|NONE|8755|||||111
PORT-cb8b4d5668c8e0e354c0c99d7160acd1-UDP-111|OS-cb8b4d5668c8e0e354c0c99d7160acd1|||||UDP|0.0.0.0|111|NONE|8755|||||111
PORT-cb8b4d5668c8e0e354c0c99d7160acd1-TCP6-6000|OS-cb8b4d5668c8e0e354c0c99d7160acd1|||||TCP6|::|6000|LISTEN|18693|||||6000
