id|id_os|id_group|uid|gid|user_name|home|shell|status
USER-cb8b4d5668c8e0e354c0c99d7160acd1-0|OS-cb8b4d5668c8e0e354c0c99d7160acd1|GROUP-cb8b4d5668c8e0e354c0c99d7160acd1-0|0|0|root|/root|/bin/bash|InActive
USER-cb8b4d5668c8e0e354c0c99d7160acd1-1|OS-cb8b4d5668c8e0e354c0c99d7160acd1|GROUP-cb8b4d5668c8e0e354c0c99d7160acd1-1|1|1|bin|/bin|/sbin/nologin|InActive
USER-cb8b4d5668c8e0e354c0c99d7160acd1-2|OS-cb8b4d5668c8e0e354c0c99d7160acd1|GROUP-cb8b4d5668c8e0e354c0c99d7160acd1-2|2|2|daemon|/sbin|/sbin/nologin|InActive
USER-cb8b4d5668c8e0e354c0c99d7160acd1-3|OS-cb8b4d5668c8e0e354c0c99d7160acd1|GROUP-cb8b4d5668c8e0e354c0c99d7160acd1-4|3|4|adm|/var/adm|/sbin/nologin|InActive
USER-cb8b4d5668c8e0e354c0c99d7160acd1-4|OS-cb8b4d5668c8e0e354c0c99d7160acd1|GROUP-cb8b4d5668c8e0e354c0c99d7160acd1-7|4|7|lp|/var/spool/lpd|/sbin/nologin|InActive
USER-cb8b4d5668c8e0e354c0c99d7160acd1-5|OS-cb8b4d5668c8e0e354c0c99d7160acd1|GROUP-cb8b4d5668c8e0e354c0c99d7160acd1-0|5|0|sync|/sbin|/bin/sync|InActive
USER-cb8b4d5668c8e0e354c0c99d7160acd1-6|OS-cb8b4d5668c8e0e354c0c99d7160acd1|GROUP-cb8b4d5668c8e0e354c0c99d7160acd1-0|6|0|shutdown|/sbin|/sbin/shutdown|InActive
USER-cb8b4d5668c8e0e354c0c99d7160acd1-7|OS-cb8b4d5668c8e0e354c0c99d7160acd1|GROUP-cb8b4d5668c8e0e354c0c99d7160acd1-0|7|0|halt|/sbin|/sbin/halt|InActive
USER-cb8b4d5668c8e0e354c0c99d7160acd1-8|OS-cb8b4d5668c8e0e354c0c99d7160acd1|GROUP-cb8b4d5668c8e0e354c0c99d7160acd1-12|8|12|mail|/var/spool/mail|/sbin/nologin|InActive
USER-cb8b4d5668c8e0e354c0c99d7160acd1-11|OS-cb8b4d5668c8e0e354c0c99d7160acd1|GROUP-cb8b4d5668c8e0e354c0c99d7160acd1-0|11|0|operator|/root|/sbin/nologin|InActive
USER-cb8b4d5668c8e0e354c0c99d7160acd1-12|OS-cb8b4d5668c8e0e354c0c99d7160acd1|GROUP-cb8b4d5668c8e0e354c0c99d7160acd1-100|12|100|games|/usr/games|/sbin/nologin|InActive
USER-cb8b4d5668c8e0e354c0c99d7160acd1-14|OS-cb8b4d5668c8e0e354c0c99d7160acd1|GROUP-cb8b4d5668c8e0e354c0c99d7160acd1-50|14|50|ftp|/var/ftp|/sbin/nologin|InActive
USER-cb8b4d5668c8e0e354c0c99d7160acd1-99|OS-cb8b4d5668c8e0e354c0c99d7160acd1|GROUP-cb8b4d5668c8e0e354c0c99d7160acd1-99|99|99|nobody|/|/sbin/nologin|InActive
USER-cb8b4d5668c8e0e354c0c99d7160acd1-192|OS-cb8b4d5668c8e0e354c0c99d7160acd1|GROUP-cb8b4d5668c8e0e354c0c99d7160acd1-192|192|192|systemd-network|/|/sbin/nologin|InActive
USER-cb8b4d5668c8e0e354c0c99d7160acd1-81|OS-cb8b4d5668c8e0e354c0c99d7160acd1|GROUP-cb8b4d5668c8e0e354c0c99d7160acd1-81|81|81|dbus|/|/sbin/nologin|InActive
USER-cb8b4d5668c8e0e354c0c99d7160acd1-999|OS-cb8b4d5668c8e0e354c0c99d7160acd1|GROUP-cb8b4d5668c8e0e354c0c99d7160acd1-998|999|998|polkitd|/|/sbin/nologin|InActive
USER-cb8b4d5668c8e0e354c0c99d7160acd1-998|OS-cb8b4d5668c8e0e354c0c99d7160acd1|GROUP-cb8b4d5668c8e0e354c0c99d7160acd1-996|998|996|libstoragemgmt|/var/run/lsm|/sbin/nologin|InActive
USER-cb8b4d5668c8e0e354c0c99d7160acd1-997|OS-cb8b4d5668c8e0e354c0c99d7160acd1|GROUP-cb8b4d5668c8e0e354c0c99d7160acd1-995|997|995|colord|/var/lib/colord|/sbin/nologin|InActive
USER-cb8b4d5668c8e0e354c0c99d7160acd1-32|OS-cb8b4d5668c8e0e354c0c99d7160acd1|GROUP-cb8b4d5668c8e0e354c0c99d7160acd1-32|32|32|rpc|/var/lib/rpcbind|/sbin/nologin|InActive
USER-cb8b4d5668c8e0e354c0c99d7160acd1-996|OS-cb8b4d5668c8e0e354c0c99d7160acd1|GROUP-cb8b4d5668c8e0e354c0c99d7160acd1-76|996|76|saslauth|/run/saslauthd|/sbin/nologin|InActive
USER-cb8b4d5668c8e0e354c0c99d7160acd1-173|OS-cb8b4d5668c8e0e354c0c99d7160acd1|GROUP-cb8b4d5668c8e0e354c0c99d7160acd1-173|173|173|abrt|/etc/abrt|/sbin/nologin|InActive
USER-cb8b4d5668c8e0e354c0c99d7160acd1-172|OS-cb8b4d5668c8e0e354c0c99d7160acd1|GROUP-cb8b4d5668c8e0e354c0c99d7160acd1-172|172|172|rtkit|/proc|/sbin/nologin|InActive
USER-cb8b4d5668c8e0e354c0c99d7160acd1-171|OS-cb8b4d5668c8e0e354c0c99d7160acd1|GROUP-cb8b4d5668c8e0e354c0c99d7160acd1-171|171|171|pulse|/var/run/pulse|/sbin/nologin|InActive
USER-cb8b4d5668c8e0e354c0c99d7160acd1-995|OS-cb8b4d5668c8e0e354c0c99d7160acd1|GROUP-cb8b4d5668c8e0e354c0c99d7160acd1-990|995|990|chrony|/var/lib/chrony|/sbin/nologin|InActive
USER-cb8b4d5668c8e0e354c0c99d7160acd1-75|OS-cb8b4d5668c8e0e354c0c99d7160acd1|GROUP-cb8b4d5668c8e0e354c0c99d7160acd1-75|75|75|radvd|/|/sbin/nologin|InActive
USER-cb8b4d5668c8e0e354c0c99d7160acd1-29|OS-cb8b4d5668c8e0e354c0c99d7160acd1|GROUP-cb8b4d5668c8e0e354c0c99d7160acd1-29|29|29|rpcuser|/var/lib/nfs|/sbin/nologin|InActive
USER-cb8b4d5668c8e0e354c0c99d7160acd1-65534|OS-cb8b4d5668c8e0e354c0c99d7160acd1|GROUP-cb8b4d5668c8e0e354c0c99d7160acd1-65534|65534|65534|nfsnobody|/var/lib/nfs|/sbin/nologin|InActive
USER-cb8b4d5668c8e0e354c0c99d7160acd1-994|OS-cb8b4d5668c8e0e354c0c99d7160acd1|GROUP-cb8b4d5668c8e0e354c0c99d7160acd1-989|994|989|unbound|/etc/unbound|/sbin/nologin|InActive
USER-cb8b4d5668c8e0e354c0c99d7160acd1-993|OS-cb8b4d5668c8e0e354c0c99d7160acd1|GROUP-cb8b4d5668c8e0e354c0c99d7160acd1-988|993|988|gluster|/run/gluster|/sbin/nologin|InActive
USER-cb8b4d5668c8e0e354c0c99d7160acd1-107|OS-cb8b4d5668c8e0e354c0c99d7160acd1|GROUP-cb8b4d5668c8e0e354c0c99d7160acd1-107|107|107|qemu|/|/sbin/nologin|InActive
USER-cb8b4d5668c8e0e354c0c99d7160acd1-59|OS-cb8b4d5668c8e0e354c0c99d7160acd1|GROUP-cb8b4d5668c8e0e354c0c99d7160acd1-59|59|59|tss|/dev/null|/sbin/nologin|InActive
USER-cb8b4d5668c8e0e354c0c99d7160acd1-113|OS-cb8b4d5668c8e0e354c0c99d7160acd1|GROUP-cb8b4d5668c8e0e354c0c99d7160acd1-113|113|113|usbmuxd|/|/sbin/nologin|InActive
USER-cb8b4d5668c8e0e354c0c99d7160acd1-992|OS-cb8b4d5668c8e0e354c0c99d7160acd1|GROUP-cb8b4d5668c8e0e354c0c99d7160acd1-986|992|986|geoclue|/var/lib/geoclue|/sbin/nologin|InActive
USER-cb8b4d5668c8e0e354c0c99d7160acd1-991|OS-cb8b4d5668c8e0e354c0c99d7160acd1|GROUP-cb8b4d5668c8e0e354c0c99d7160acd1-985|991|985|setroubleshoot|/var/lib/setroubleshoot|/sbin/nologin|InActive
USER-cb8b4d5668c8e0e354c0c99d7160acd1-990|OS-cb8b4d5668c8e0e354c0c99d7160acd1|GROUP-cb8b4d5668c8e0e354c0c99d7160acd1-984|990|984|saned|/usr/share/sane|/sbin/nologin|InActive
USER-cb8b4d5668c8e0e354c0c99d7160acd1-42|OS-cb8b4d5668c8e0e354c0c99d7160acd1|GROUP-cb8b4d5668c8e0e354c0c99d7160acd1-42|42|42|gdm|/var/lib/gdm|/sbin/nologin|InActive
USER-cb8b4d5668c8e0e354c0c99d7160acd1-989|OS-cb8b4d5668c8e0e354c0c99d7160acd1|GROUP-cb8b4d5668c8e0e354c0c99d7160acd1-983|989|983|gnome-initial-setup|/run/gnome-initial-setup/|/sbin/nologin|InActive
USER-cb8b4d5668c8e0e354c0c99d7160acd1-74|OS-cb8b4d5668c8e0e354c0c99d7160acd1|GROUP-cb8b4d5668c8e0e354c0c99d7160acd1-74|74|74|sshd|/var/empty/sshd|/sbin/nologin|InActive
USER-cb8b4d5668c8e0e354c0c99d7160acd1-70|OS-cb8b4d5668c8e0e354c0c99d7160acd1|GROUP-cb8b4d5668c8e0e354c0c99d7160acd1-70|70|70|avahi|/var/run/avahi-daemon|/sbin/nologin|InActive
USER-cb8b4d5668c8e0e354c0c99d7160acd1-89|OS-cb8b4d5668c8e0e354c0c99d7160acd1|GROUP-cb8b4d5668c8e0e354c0c99d7160acd1-89|89|89|postfix|/var/spool/postfix|/sbin/nologin|InActive
